vlocity_cmt__DestinationFieldName__c,vlocity_cmt__DestinationSObjectType__c,Name,vlocity_cmt__SourceFieldName__c,vlocity_cmt__SourceFieldSObjectType__c,vlocity_cmt__SourceFieldType__c,vlocity_cmt__SourceSObjectType__c
EffectiveUsageCostTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-39,vlocity_cmt__EffectiveUsageCostTotal__c,,currency,QuoteLineItem
EffectiveUsagePriceTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-40,vlocity_cmt__EffectiveUsagePriceTotal__c,,currency,QuoteLineItem
Action__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-41,vlocity_cmt__Action__c,,picklist,QuoteLineItem
AttributeMetadataChanges__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-42,vlocity_cmt__AttributeMetadataChanges__c,,textarea,QuoteLineItem
vlocity_cmt__AttributeSelectedValues__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-43,vlocity_cmt__AttributeSelectedValues__c,,textarea,QuoteLineItem
CurrencyPaymentMode__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-44,vlocity_cmt__CurrencyPaymentMode__c,,picklist,QuoteLineItem
EffectiveOneTimeCostTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-45,vlocity_cmt__EffectiveOneTimeCostTotal__c,,currency,QuoteLineItem
EffectiveOneTimeLoyaltyTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-46,vlocity_cmt__EffectiveOneTimeLoyaltyTotal__c,,double,QuoteLineItem
EffectiveOneTimeTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-47,vlocity_cmt__EffectiveOneTimeTotal__c,,currency,QuoteLineItem
EffectiveQuantity__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-48,vlocity_cmt__EffectiveQuantity__c,,double,QuoteLineItem
ProductHierarchyGroupKeyPath__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-49,vlocity_cmt__ProductHierarchyGroupKeyPath__c,,textarea,QuoteLineItem
ProductHierarchyPath__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-50,vlocity_cmt__ProductHierarchyPath__c,,string,QuoteLineItem
RecurringCost__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-51,vlocity_cmt__RecurringCost__c,,currency,QuoteLineItem
RecurringCostTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-52,vlocity_cmt__RecurringCostTotal__c,,currency,QuoteLineItem
RecurringMargin__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-53,vlocity_cmt__RecurringMargin__c,,percent,QuoteLineItem
UsageMargin__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-54,vlocity_cmt__UsageMargin__c,,percent,QuoteLineItem
UsageMeasurementId__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-55,vlocity_cmt__UsageMeasurementId__c,vlocity_cmt__ChargeMeasurement__c,reference,QuoteLineItem
UsageUnitPrice__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-56,vlocity_cmt__UsageUnitPrice__c,,currency,QuoteLineItem
UsagePriceTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-57,vlocity_cmt__UsagePriceTotal__c,,currency,QuoteLineItem
UsageQuantity__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-58,vlocity_cmt__UsageQuantity__c,,double,QuoteLineItem
UsageUnitCost__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-59,vlocity_cmt__UsageUnitCost__c,,currency,QuoteLineItem
UsageCostTotal__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-60,vlocity_cmt__UsageCostTotal__c,,currency,QuoteLineItem
vlocity_cmt__PricingLogData__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-61,vlocity_cmt__PricingLogData__c,,textarea,QuoteLineItem
EffectiveUsageQuantity__c,vlocity_cmt__ContractLineItem__c,QuoteLineItem>ContractLineItem-62,vlocity_cmt__EffectiveUsageQuantity__c,,double,QuoteLineItem
PricebookEntryId,QuoteLineItem,ContractLineItem>QuoteLineItem-01,vlocity_cmt__PricebookEntryId__c,PricebookEntry,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__JSONAttribute__c,QuoteLineItem,ContractLineItem>QuoteLineItem-02,vlocity_cmt__AttributesData__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageDiscountPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-03,vlocity_cmt__OverageDiscountPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageUOM__c,QuoteLineItem,ContractLineItem>QuoteLineItem-04,vlocity_cmt__OverageUOM__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-05,vlocity_cmt__OverageTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageManualDiscount__c,QuoteLineItem,ContractLineItem>QuoteLineItem-06,vlocity_cmt__OverageManualDiscount__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageCharge__c,QuoteLineItem,ContractLineItem>QuoteLineItem-07,vlocity_cmt__OverageCharge__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringDiscountPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-08,vlocity_cmt__RecurringDiscountPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeDiscountPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-09,vlocity_cmt__OneTimeDiscountPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCharge__c,QuoteLineItem,ContractLineItem>QuoteLineItem-10,vlocity_cmt__OneTimeCharge__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ServiceAccountId__c,QuoteLineItem,ContractLineItem>QuoteLineItem-11,vlocity_cmt__ServiceAccountId__c,Account,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__SerialNumber__c,QuoteLineItem,ContractLineItem>QuoteLineItem-12,vlocity_cmt__SerialNumber__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__BillingAccountId__c,QuoteLineItem,ContractLineItem>QuoteLineItem-13,vlocity_cmt__BillingAccountId__c,Account,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ConnectDate__c,QuoteLineItem,ContractLineItem>QuoteLineItem-14,vlocity_cmt__EffectiveStartDate__c,,datetime,vlocity_cmt__ContractLineItem__c
vlocity_cmt__DisconnectDate__c,QuoteLineItem,ContractLineItem>QuoteLineItem-15,vlocity_cmt__EffectiveEndDate__c,,datetime,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeManualDiscount__c,QuoteLineItem,ContractLineItem>QuoteLineItem-16,vlocity_cmt__OneTimeManualDiscount__c,,percent,vlocity_cmt__ContractLineItem__c
UnitPrice,QuoteLineItem,ContractLineItem>QuoteLineItem-17,vlocity_cmt__UnitPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-18,vlocity_cmt__OneTimeTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OverageCalculatedPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-19,vlocity_cmt__OverageCalculatedPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringUOM__c,QuoteLineItem,ContractLineItem>QuoteLineItem-20,vlocity_cmt__RecurringUOM__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-21,vlocity_cmt__RecurringTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringManualDiscount__c,QuoteLineItem,ContractLineItem>QuoteLineItem-22,vlocity_cmt__RecurringManualDiscount__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCharge__c,QuoteLineItem,ContractLineItem>QuoteLineItem-23,vlocity_cmt__RecurringCharge__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCalculatedPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-24,vlocity_cmt__RecurringCalculatedPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__LineNumber__c,QuoteLineItem,ContractLineItem>QuoteLineItem-25,vlocity_cmt__LineNumber__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCalculatedPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-26,vlocity_cmt__OneTimeCalculatedPrice__c,,currency,vlocity_cmt__ContractLineItem__c
Quantity,QuoteLineItem,ContractLineItem>QuoteLineItem-27,vlocity_cmt__Quantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__AssetReferenceId__c,QuoteLineItem,ContractLineItem>QuoteLineItem-28,vlocity_cmt__AssetReferenceId__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__InCartQuantityMap__c,QuoteLineItem,ContractLineItem>QuoteLineItem-29,InCartQuantityMap__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCost__c,QuoteLineItem,ContractLineItem>QuoteLineItem-30,OneTimeCost__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeCostTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-31,OneTimeCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeLoyaltyPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-32,OneTimeLoyaltyPrice__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeLoyaltyTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-33,OneTimeLoyaltyTotal__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__OneTimeMargin__c,QuoteLineItem,ContractLineItem>QuoteLineItem-34,OneTimeMargin__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveRecurringCostTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-35,EffectiveRecurringCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveRecurringTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-36,EffectiveRecurringTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveUsageCostTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-37,EffectiveUsageCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveUsagePriceTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-38,EffectiveUsagePriceTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__Action__c,QuoteLineItem,ContractLineItem>QuoteLineItem-39,Action__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__AttributeMetadataChanges__c,QuoteLineItem,ContractLineItem>QuoteLineItem-40,AttributeMetadataChanges__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__AttributeSelectedValues__c,QuoteLineItem,ContractLineItem>QuoteLineItem-41,vlocity_cmt__AttributeSelectedValues__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__CurrencyPaymentMode__c,QuoteLineItem,ContractLineItem>QuoteLineItem-42,CurrencyPaymentMode__c,,picklist,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveOneTimeCostTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-43,EffectiveOneTimeCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveOneTimeLoyaltyTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-44,EffectiveOneTimeLoyaltyTotal__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveOneTimeTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-45,EffectiveOneTimeTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveQuantity__c,QuoteLineItem,ContractLineItem>QuoteLineItem-46,EffectiveQuantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ProductHierarchyGroupKeyPath__c,QuoteLineItem,ContractLineItem>QuoteLineItem-47,ProductHierarchyGroupKeyPath__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__ProductHierarchyPath__c,QuoteLineItem,ContractLineItem>QuoteLineItem-48,ProductHierarchyPath__c,,string,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCost__c,QuoteLineItem,ContractLineItem>QuoteLineItem-49,RecurringCost__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringCostTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-50,RecurringCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__RecurringMargin__c,QuoteLineItem,ContractLineItem>QuoteLineItem-51,RecurringMargin__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageMargin__c,QuoteLineItem,ContractLineItem>QuoteLineItem-52,UsageMargin__c,,percent,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageMeasurementId__c,QuoteLineItem,ContractLineItem>QuoteLineItem-53,UsageMeasurementId__c,vlocity_cmt__ChargeMeasurement__c,reference,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageUnitPrice__c,QuoteLineItem,ContractLineItem>QuoteLineItem-54,UsageUnitPrice__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsagePriceTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-55,UsagePriceTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageQuantity__c,QuoteLineItem,ContractLineItem>QuoteLineItem-56,UsageQuantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageUnitCost__c,QuoteLineItem,ContractLineItem>QuoteLineItem-57,UsageUnitCost__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__UsageCostTotal__c,QuoteLineItem,ContractLineItem>QuoteLineItem-58,UsageCostTotal__c,,currency,vlocity_cmt__ContractLineItem__c
vlocity_cmt__PricingLogData__c,QuoteLineItem,ContractLineItem>QuoteLineItem-59,vlocity_cmt__PricingLogData__c,,textarea,vlocity_cmt__ContractLineItem__c
vlocity_cmt__EffectiveUsageQuantity__c,QuoteLineItem,ContractLineItem>QuoteLineItem-60,EffectiveUsageQuantity__c,,double,vlocity_cmt__ContractLineItem__c
vlocity_cmt__Product2Id__c,QuoteLineItem,ContractLineItem>QuoteLineItem-61,vlocity_cmt__Product2Id__c,Product2,reference,vlocity_cmt__ContractLineItem__c
