vlocity_cmt__DestinationFieldName__c,vlocity_cmt__DestinationSObjectType__c,Name,vlocity_cmt__SourceFieldName__c,vlocity_cmt__SourceFieldSObjectType__c,vlocity_cmt__SourceFieldType__c,vlocity_cmt__SourceSObjectType__c
vlocity_cmt__OneTimeTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-18,vlocity_cmt__OneTimeTotal__c,,currency,OrderItem
vlocity_cmt__OverageCalculatedPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-19,vlocity_cmt__OverageCalculatedPrice__c,,currency,OrderItem
vlocity_cmt__RecurringUOM__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-20,vlocity_cmt__RecurringUOM__c,,picklist,OrderItem
vlocity_cmt__RecurringTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-21,vlocity_cmt__RecurringTotal__c,,currency,OrderItem
vlocity_cmt__RecurringManualDiscount__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-22,vlocity_cmt__RecurringManualDiscount__c,,percent,OrderItem
vlocity_cmt__RecurringCharge__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-23,vlocity_cmt__RecurringCharge__c,,currency,OrderItem
vlocity_cmt__RecurringCalculatedPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-24,vlocity_cmt__RecurringCalculatedPrice__c,,currency,OrderItem
vlocity_cmt__LineNumber__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-25,vlocity_cmt__LineNumber__c,,string,OrderItem
vlocity_cmt__OneTimeCalculatedPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-26,vlocity_cmt__OneTimeCalculatedPrice__c,,currency,OrderItem
vlocity_cmt__Product2Id__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-27,PricebookEntry.Product2Id,Product2,reference,OrderItem
Name,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-28,PricebookEntry.Name,PricebookEntry,string,OrderItem
vlocity_cmt__Quantity__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-29,Quantity,,double,OrderItem
vlocity_cmt__AssetReferenceId__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-30,vlocity_cmt__AssetReferenceId__c,,string,OrderItem
InCartQuantityMap__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-31,vlocity_cmt__InCartQuantityMap__c,,textarea,OrderItem
OneTimeCost__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-32,vlocity_cmt__OneTimeCost__c,,currency,OrderItem
OneTimeCostTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-33,vlocity_cmt__OneTimeCostTotal__c,,currency,OrderItem
OneTimeLoyaltyPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-34,vlocity_cmt__OneTimeLoyaltyPrice__c,,double,OrderItem
OneTimeLoyaltyTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-35,vlocity_cmt__OneTimeLoyaltyTotal__c,,double,OrderItem
OneTimeMargin__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-36,vlocity_cmt__OneTimeMargin__c,,percent,OrderItem
EffectiveRecurringCostTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-37,vlocity_cmt__EffectiveRecurringCostTotal__c,,currency,OrderItem
EffectiveRecurringTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-38,vlocity_cmt__EffectiveRecurringTotal__c,,currency,OrderItem
EffectiveUsageCostTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-39,vlocity_cmt__EffectiveUsageCostTotal__c,,currency,OrderItem
EffectiveUsagePriceTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-40,vlocity_cmt__EffectiveUsagePriceTotal__c,,currency,OrderItem
Action__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-41,vlocity_cmt__Action__c,,picklist,OrderItem
